,,,,2025,,,,,,,,
행정구역,,,,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60세 이상
서울특별시,-1100000000,,,"9,305,678","9,305,678","461,756","718,610","1,261,201","1,460,772","1,367,129","1,470,653","2,565,557"
서울특별시,종로구,-1111000000,,"137,246","137,246","5,107","9,242","20,309","19,866","18,257","22,843","41,622"
서울특별시,종로구,청운효자동(1111051500),,"10,923","10,923",512,"1,009","1,287","1,517","1,718","1,862","3,018"
서울특별시,종로구,사직동(1111053000),,"8,909","8,909",369,597,"1,035","1,437","1,372","1,470","2,629"
서울특별시,종로구,삼청동(1111054000),,"2,125","2,125",68,157,215,272,289,321,803
서울특별시,종로구,부암동(1111055000),,"8,937","8,937",338,745,"1,030","1,174","1,306","1,599","2,745"
서울특별시,종로구,평창동(1111056000),,"17,087","17,087",870,"1,528","1,765","2,009","2,415","2,980","5,520"
서울특별시,종로구,무악동(1111057000),,"7,700","7,700",468,861,802,779,"1,223","1,364","2,203"
서울특별시,종로구,교남동(1111058000),,"9,455","9,455",616,752,"1,054","1,378","1,593","1,677","2,385"
서울특별시,종로구,가회동(1111060000),,"3,635","3,635",126,288,332,505,569,638,"1,177"
서울특별시,종로구,종로1.2.3.4가동(1111061500),,"6,613","6,613",141,225,865,"1,050",806,"1,051","2,475"
서울특별시,종로구,종로5.6가동(1111063000),,"5,393","5,393",143,196,"1,124",999,588,776,"1,567"
서울특별시,종로구,이화동(1111064000),,"7,057","7,057",142,325,"1,549","1,282",785,975,"1,999"
서울특별시,종로구,혜화동(1111065000),,"15,741","15,741",436,"1,137","4,230","2,068","1,801","2,301","3,768"
서울특별시,종로구,창신제1동(1111067000),,"4,434","4,434",97,146,523,609,447,749,"1,863"
서울특별시,종로구,창신제2동(1111068000),,"7,163","7,163",141,278,783,876,732,"1,493","2,860"
서울특별시,종로구,창신제3동(1111069000),,"6,145","6,145",252,386,692,914,746,"1,108","2,047"
서울특별시,종로구,숭인제1동(1111070000),,"5,712","5,712",177,319,689,787,794,"1,029","1,917"
서울특별시,종로구,숭인제2동(1111071000),,"10,217","10,217",211,293,"2,334","2,210","1,073","1,450","2,646"
서울특별시,중구,-1114000000,,"118,108","118,108","5,019","5,810","15,787","21,244","16,179","17,890","36,179"
서울특별시,중구,소공동(1114052000),,"2,186","2,186",147,156,208,404,552,336,383
서울특별시,중구,회현동(1114054000),,"4,120","4,120",127,200,374,541,462,689,"1,727"
서울특별시,중구,명동(1114055000),,"2,470","2,470",47,109,300,307,315,441,951
서울특별시,중구,필동(1114057000),,"4,318","4,318",127,197,823,850,540,571,"1,210"
서울특별시,중구,장충동(1114058000),,"4,568","4,568",108,254,"1,306",644,477,572,"1,207"
서울특별시,중구,광희동(1114059000),,"5,695","5,695",113,171,"1,062","1,329",678,702,"1,640"
